cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-2.9,1.8,13.7,7.2,6.0,25,0,0,-2.5460164032992907,-0.6835240526124835,-0.0155697781592607,-0.2645682560978457,-0.5803902739426121,-0.0661282589426264,-0.1984826680272817,-0.2489382370258681,-1.215286694234237,-0.110569144540932,-0.0668906836071983,2,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-2.9_cy=1.8_cz=13.7.log
-3.1,1.9,13.7,7.2,6.0,25,0,0,-2.4880169089883566,-0.6161483039613813,-0.0130660132272169,-0.2576054050587117,-0.5159060914302245,-0.0624297149479389,-0.2013190131401643,-0.2321981528657488,-1.2603394022444263,-0.1009155306965112,-0.0613265522988513,1,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.1_cy=1.9_cz=13.7.log
-3.4,2.0,13.7,7.2,6.0,25,0,0,-2.4217311452375725,-0.5268536309013143,-0.0104254512116312,-0.2410190609516576,-0.4386068996973336,-0.0581651568645611,-0.1966164532350376,-0.2160899711307138,-1.327436536550522,-0.0878168869530782,-0.0545444241724908,1,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.4_cy=2.0_cz=13.7.log
-3.6,2.1,13.6,7.2,6.0,25,0,0,-2.439879989658948,-0.5119314432376996,-0.0094226902583614,-0.2440097735961899,-0.4162148329196498,-0.0565424161031842,-0.2160403977613896,-0.2195921044331044,-1.3586595515953377,-0.0827535088174045,-0.0517940478748641,2,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.6_cy=2.1_cz=13.6.log
-3.6,2.2,13.7,7.2,6.0,25,0,0,-2.365450400917325,-0.4529856636654585,-0.008052208344452,-0.2398431070614606,-0.3816189515637234,-0.0529869443271309,-0.2100539524108171,-0.1859989841468632,-1.3769941388163716,-0.0804373693536035,-0.0492494949139654,2,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.6_cy=2.2_cz=13.7.log
-3.6,2.3,13.7,7.2,6.0,25,0,0,-2.3509480173233896,-0.438954540179111,-0.0074021078180521,-0.2476606267737224,-0.3720080083003267,-0.0512663120171055,-0.2237412005197256,-0.1727045573061332,-1.378777522244491,-0.0806507226661779,-0.048298817302566,1,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.6_cy=2.3_cz=13.7.log
-3.6,2.4,13.7,7.2,6.0,25,0,0,-2.3294018338201568,-0.4244063482619822,-0.0068047185195609,-0.2556538491044193,-0.3624861715361476,-0.0496059203287586,-0.2379906976129859,-0.1604681123280897,-1.3722689885180444,-0.0808408582233823,-0.0473500220687128,2,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.6_cy=2.4_cz=13.7.log
-3.6,2.5,13.7,7.2,6.0,25,0,0,-2.30346747324802,-0.4094101144000888,-0.0062512545846402,-0.2638315595686435,-0.3530107706319541,-0.0480070251505821,-0.2526957667432725,-0.1489432635717094,-1.3605119611602277,-0.0809983633225783,-0.0464106396539136,1,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.6_cy=2.5_cz=13.7.log
-3.6,2.6,13.8,7.2,6.0,25,0,0,-2.196222248894628,-0.3581149368546903,-0.005293674301356,-0.2580308570759371,-0.3241428004112094,-0.0450640032067894,-0.2432580165332183,-0.1277007949538529,-1.3289017722709104,-0.0785874699358828,-0.0440800675423815,1,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=-3.6_cy=2.6_cz=13.8.log
0.0,2.7,13.8,7.2,6.0,25,0,0,-2.598985777818598,-0.7473393096588552,-0.0362449776148423,-0.6192519684555009,-0.7473393096588552,-0.0362449776148423,-0.6192519684555009,-0.1018975838669575,-0.4961771771777421,-0.4961771771777421,-0.1018975838669575,2,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=0.0_cy=2.7_cz=13.8.log
0.0,2.8,13.7,7.2,6.0,25,0,0,-2.78002115781419,-0.763601858750917,-0.0363416142063215,-0.6940850459504873,-0.763601858750917,-0.0363416142063215,-0.6940850459504873,-0.1025815698667429,-0.540414749586489,-0.540414749586489,-0.1025815698667429,2,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=0.0_cy=2.8_cz=13.7.log
0.0,2.9,13.7,7.2,6.0,25,0,0,-2.7728311476530507,-0.7469377032248303,-0.0348004495026543,-0.7127860989421606,-0.7469377032248303,-0.0348004495026543,-0.7127860989421606,-0.0978664596332237,-0.541286988358479,-0.541286988358479,-0.0978664596332237,2,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=0.0_cy=2.9_cz=13.7.log
0.0,3.0,13.7,7.2,6.0,25,0,0,-2.763835164369084,-0.730208286549896,-0.03333835129160434,-0.730208286549896,-0.730208286549896,-0.03333835129160434,-0.730208286549896,-0.09334587748162448,-0.5416942425072193,-0.5416942425072193,-0.09334587748162448,1,Done,tetracene_a=7.2_b=6.0_theta=25_Rt=0_Rp=0_cx=0.0_cy=3.0_cz=13.7.log
